[14534, 8595, 4442, 22879, 7278]
[4241, 11785, 17655, 4952, 4952]
[18032, 12927, 10130, 3731, 25201]
[21012, 19807, 16032, 231, 25006]
[21391, 19517, 6317, 16576, 18521]
[15108, 6468, 3922, 19807, 10243]
[16872, 1098, 6264, 7985, 6700]
[16389, 13520, 4351, 12365, 22691]
[3937, 4748, 13714, 2250, 3420]
[20511, 4743, 14485, 20511, 4743]
[11447, 7264, 15383, 24385, 11182]
[16389, 4952, 16389, 25006, 16414]
[13521, 7991, 231, 18940, 10652]
[12545, 16389, 231, 12545, 6830]
[12165, 4588, 24330, 13597, 10055]
[4102, 21012, 21281, 676, 13008]
[3032, 16148, 25354, 25480, 18001]
[20511, 18487, 15321, 16148, 14485]
[17580, 14379, 5065, 6387, 24617]
[4364, 3096, 23967, 12101, 5052]
[18193, 1488, 6442, 20587, 7204]
[20511, 16389, 20716, 20827, 4416]
[18008, 25868, 7357, 10477, 3877]
[6830, 2115, 676, 14485, 6830]
[13190, 2072, 7579, 7899, 22598]
[25006, 23351, 13190, 5107, 26013]
[17289, 21281, 7956, 2980, 8517]
[9360, 21847, 8879, 8365, 19423]
[23503, 21469, 10543, 950, 7087]
[16389, 15003, 16389, 23038, 16389]
[4027, 7442, 24371, 6732, 15081]
[22177, 5712, 26, 10801, 25006]
[5835, 1550, 14316, 743, 15552]
[21012, 21776, 16674, 12365, 18487]
[8879, 4164, 20562, 21281, 12496]
[16389, 20613, 12507, 16389, 5052]
[24444, 24582, 9419, 8972, 574]
[22691, 14485, 18487, 25006, 16389]
[3383, 13346, 11861, 2190, 5542]
[14344, 13801, 12472, 17419, 1386]
[25836, 25528, 6774, 18579, 14552]
[10310, 16389, 45, 21012, 21012]
[23383, 3386, 25442, 10726, 22457]
[20850, 10726, 12545, 135, 24620]
[4988, 2607, 11801, 1407, 4242]
[2072, 543, 5901, 26, 14485]
[19608, 9593, 122, 8458, 13801]
[25006, 16389, 24835, 23741, 20716]
[20947, 7324, 14746, 8978, 23302]
[1488, 24578, 25698, 14746, 18517]
[6610, 11175, 9482, 18910, 24924]
[16389, 20716, 12365, 12365, 1186]
[1014, 12478, 12313, 543, 205]
[14485, 19974, 14351, 25698, 7045]
[19090, 4102, 7024, 18736, 15395]
[14599, 12365, 21646, 13801, 14599]
[5233, 5901, 13056, 9066, 5712]
[20511, 18109, 16389, 11609, 6610]
[195, 13801, 14357, 18736, 15477]
[20511, 17089, 4102, 10711, 16568]
[12409, 18648, 6774, 22457, 17612]
[16389, 2072, 2710, 12545, 21012]
[14766, 7197, 88, 6340, 19114]
[16389, 10762, 88, 20511, 1488]
[13096, 7444, 19446, 17807, 1995]
[25006, 12365, 13096, 20532, 14599]
